user_id,user_lat,user_lng,interests,time_preference,location_preference,budget_type,gender,mbti
1,37.44680559213273,126.86239780813447,"맛집, 취미활동, 스포츠, 소셜",evening,indoor,value,M,ESTP
2,37.4002336297523,127.19688462371649,"스포츠, 카페, 소셜, 문화예술",morning,indoor,medium,F,ESFJ
3,37.48764339456056,126.94654473731748,"소셜, 문화예술",afternoon,indoor,medium,F,ISFP
4,37.45115723710619,126.8260206371941,"맛집, 소셜, 스터디, 취미활동",night,outdoor,medium,F,ESFP
5,37.43661147045344,126.99807076404451,"소셜, 문화예술, 카페",evening,indoor,value,M,ENFP
6,37.69087538832937,127.11005312934444,"카페, 스포츠, 스터디",afternoon,indoor,high,M,ENTJ
7,37.65336015460345,127.09892804405496,"스터디, 카페, 맛집, 스포츠",evening,outdoor,value,M,ENFP
8,37.52702044421192,126.95795260727024,"맛집, 카페",night,indoor,high,F,ESTP
9,37.50753971856328,126.84634762381005,"문화예술, 맛집",evening,outdoor,value,F,INFJ
10,37.56837302775431,126.95317074990152,"문화예술, 스포츠",evening,outdoor,medium,F,INTJ
11,37.433267246243545,126.9757346007463,"맛집, 문화예술, 스터디",evening,indoor,medium,M,ENFJ
12,37.5619523273905,126.88122448989392,"맛집, 스포츠",morning,indoor,value,N,INFJ
13,37.43164827794908,126.98261382819317,"카페, 소셜, 스터디",night,indoor,high,F,INFP
14,37.48163967481539,127.05907604821654,"취미활동, 스터디, 소셜, 카페",morning,outdoor,high,M,ESFP
15,37.4359596102001,126.93504606856143,"문화예술, 소셜, 스터디, 맛집",evening,indoor,value,M,INFP
16,37.54917455176771,126.92035132392672,"카페, 스터디",morning,outdoor,value,M,ENFP
17,37.47186856720009,126.85795794883649,"소셜, 카페, 스포츠",night,indoor,medium,M,ISTJ
18,37.51033493981578,127.05292233223744,"소셜, 맛집, 스터디, 스포츠",afternoon,indoor,high,F,INTP
19,37.57726788295648,127.07102574473691,"취미활동, 스터디",evening,outdoor,high,M,ISTJ
20,37.6513130317722,127.0702760468157,"스터디, 맛집, 카페, 소셜",morning,indoor,high,M,ESFJ
21,37.56656024347984,127.0118602313424,"스포츠, 취미활동, 소셜",afternoon,outdoor,premium,F,ESTP
22,37.61778670366108,127.15884410398104,"맛집, 문화예술",night,indoor,high,M,ESTJ
23,37.43044146285981,127.06540070764322,"소셜, 스터디, 카페, 맛집",morning,indoor,value,M,ISFJ
24,37.47117472624904,126.93015987926373,"소셜, 맛집, 문화예술",night,indoor,medium,M,ISTJ
25,37.47956071030452,126.89759585735165,"취미활동, 맛집, 스터디, 카페",afternoon,outdoor,value,M,ISTP
26,37.60067721789893,127.14566702602876,"소셜, 문화예술, 스포츠, 취미활동",night,outdoor,value,F,ISFJ
27,37.48386810253903,127.1533976089065,"카페, 취미활동, 맛집, 스터디",night,indoor,high,M,ESTP
28,37.48833466762088,126.95403909144076,"소셜, 맛집",evening,indoor,value,F,ESFP
29,37.46267561528461,127.06845740672962,"소셜, 문화예술, 스터디",evening,indoor,medium,F,ISFJ
30,37.50784734536592,126.9174367377058,"문화예술, 소셜, 카페",evening,indoor,value,M,ESFP
31,37.59498917923333,127.08078675090309,"카페, 취미활동",night,indoor,high,F,ENFJ
32,37.41078268213902,126.98623920725298,"스터디, 스포츠, 카페, 소셜",evening,outdoor,high,M,INTJ
33,37.50805719242338,126.85082420506076,"카페, 소셜, 스터디",morning,outdoor,value,M,ENFJ
34,37.60985366323016,126.85534123696712,"카페, 스포츠",night,outdoor,medium,F,ISFJ
35,37.475258158204,126.87373346973254,"스터디, 취미활동, 맛집",afternoon,outdoor,medium,N,INFJ
36,37.47193620774722,126.83754931603252,"문화예술, 스터디",morning,outdoor,value,F,INFP
37,37.56981116314822,126.863458579057,"스포츠, 맛집",afternoon,indoor,low,M,ISFJ
38,37.54748476253505,126.98938870831222,"스터디, 카페",morning,indoor,medium,M,ENFJ
39,37.51238378438794,127.0503439662857,"스포츠, 카페, 소셜",afternoon,indoor,medium,F,ISFP
40,37.572642253362766,126.9552679704826,"스터디, 취미활동",night,indoor,high,M,ESTP
41,37.67160519258682,126.87831645391572,"소셜, 맛집, 취미활동, 스포츠",morning,indoor,value,M,INFJ
42,37.49569268908813,127.1379501243878,"문화예술, 취미활동",afternoon,indoor,value,F,ENFJ
43,37.66324160405812,127.09402841752156,"소셜, 카페, 스포츠, 취미활동",morning,outdoor,medium,M,ISTJ
44,37.6329238882226,126.9363214161012,"문화예술, 스터디",afternoon,indoor,value,F,ENTJ
45,37.56029824205917,126.99862447627324,"소셜, 문화예술, 맛집, 취미활동",morning,indoor,high,M,ESFP
46,37.506471557138816,127.1827203540506,"취미활동, 맛집",evening,outdoor,medium,F,ENFP
47,37.60175553682311,127.10094981177508,"취미활동, 맛집, 스포츠, 문화예술",evening,outdoor,low,M,INTP
48,37.5637747310495,127.08233259355148,"스터디, 문화예술",evening,indoor,medium,F,ESTJ
49,37.64655801778711,127.0824968908626,"카페, 스포츠",morning,indoor,value,F,ENFJ
50,37.69580031914686,127.10135127410358,"맛집, 스터디",afternoon,outdoor,value,M,ISTP
51,37.53033555334648,126.90147286954924,"문화예술, 스포츠, 취미활동",afternoon,indoor,low,N,INTP
52,37.68865176454237,126.94994823180949,"문화예술, 맛집",morning,indoor,medium,F,ESTP
53,37.49680591648328,126.81736031331928,"소셜, 카페",morning,outdoor,low,F,ISFP
54,37.46504273197595,126.91779757873576,"취미활동, 스터디, 소셜, 맛집",morning,outdoor,medium,F,ENTP
55,37.432026819780766,126.93426402591878,"소셜, 취미활동, 스터디, 맛집",afternoon,indoor,value,F,ENFJ
56,37.47798495885628,126.98129633873154,"취미활동, 카페, 스포츠",evening,indoor,value,F,ENTJ
57,37.68215954814062,126.9666556230954,"소셜, 스포츠",morning,outdoor,value,M,INTP
58,37.51293901006341,127.12422133231271,"문화예술, 소셜, 취미활동",night,outdoor,value,M,ESTJ
59,37.419053548877,126.8147287470544,"맛집, 문화예술, 취미활동",evening,indoor,low,M,ISFJ
60,37.673949725677296,127.0340598129302,"소셜, 맛집, 취미활동",morning,outdoor,high,M,ENFJ
61,37.482419539107774,126.88289105960322,"문화예술, 카페",morning,outdoor,medium,M,INTJ
62,37.64941144701875,126.92311089590842,"스포츠, 카페, 문화예술, 스터디",morning,indoor,medium,M,ISFP
