user_id,meeting_id,rating,search_vibe
1,269,3.5,활기찬
1,74,4.3,활기찬
1,290,5.0,즐거운
1,156,3.9,창의적인
1,105,4.1,여유로운
1,281,3.6,힐링
2,454,4.3,힐링
2,452,3.5,창의적인
2,150,4.4,진지한
2,153,1.8,활기찬
3,52,3.0,여유로운
3,400,4.9,활기찬
3,388,5.0,활기찬
3,80,3.1,힐링
4,401,4.9,활기찬
4,189,1.9,감성적인
4,138,4.0,활기찬
4,108,1.3,즐거운
4,109,4.2,진지한
4,101,4.5,여유로운
5,480,3.5,창의적인
5,477,5.0,즐거운
5,307,2.8,여유로운
5,163,3.0,즐거운
5,383,4.2,활기찬
5,40,2.3,여유로운
6,300,3.1,진지한
6,1,3.6,창의적인
6,91,4.9,힐링
6,357,2.7,감성적인
6,207,2.9,활기찬
7,493,4.4,여유로운
7,323,3.0,힐링
7,362,3.4,즐거운
7,170,5.0,활기찬
7,287,2.0,창의적인
8,34,3.8,즐거운
8,80,4.6,에너지 넘치는
8,423,4.0,여유로운
8,415,4.0,활기찬
8,450,4.4,즐거운
9,246,1.4,감성적인
9,64,4.2,진지한
9,130,3.3,힐링
9,127,3.5,진지한
9,231,2.5,즐거운
10,34,1.8,즐거운
10,203,3.0,건강한
10,281,2.9,힐링
11,422,4.6,진지한
11,69,3.7,창의적인
11,296,4.2,창의적인
11,9,2.2,여유로운
11,29,5.0,감성적인
11,33,3.7,즐거운
11,141,5.0,배움
12,236,4.3,힐링
12,269,4.5,활기찬
12,92,4.7,여유로운
12,317,2.3,활기찬
12,434,4.9,진지한
12,339,2.9,진지한
12,131,1.2,힐링
13,233,2.3,창의적인
13,318,4.0,힐링
13,421,4.0,진지한
14,356,1.3,에너지 넘치는
14,19,3.3,감성적인
14,53,3.6,건강한
14,107,4.3,여유로운
14,293,4.2,힐링
14,102,4.1,여유로운
15,6,3.3,감성적인
15,191,2.8,여유로운
15,332,1.5,에너지 넘치는
15,251,3.0,즐거운
15,315,3.4,진지한
16,417,2.9,힐링
16,241,5.0,에너지 넘치는
16,390,4.3,감성적인
16,472,4.3,감성적인
17,156,4.4,창의적인
17,226,1.5,활기찬
17,486,4.6,에너지 넘치는
17,491,3.7,진지한
17,348,3.5,활기찬
17,134,3.7,힐링
18,144,5.0,진지한
18,23,4.2,즐거운
18,286,2.2,감성적인
19,360,3.5,창의적인
19,17,3.1,감성적인
19,386,1.1,힐링
19,259,4.2,힐링
19,32,4.5,여유로운
20,347,2.3,힐링
20,315,4.6,진지한
20,87,3.4,힐링
20,50,4.1,즐거운
20,24,2.0,진지한
21,274,3.4,힐링
21,121,2.7,즐거운
21,95,5.0,진지한
21,390,4.1,감성적인
21,435,2.9,여유로운
22,70,3.2,활기찬
22,328,4.8,활기찬
22,155,3.3,활기찬
22,323,3.5,힐링
22,220,4.5,즐거운
23,421,1.6,진지한
23,28,3.5,건강한
23,261,1.9,즐거운
23,294,2.8,힐링
24,169,3.7,활기찬
24,23,3.4,즐거운
24,66,3.2,창의적인
25,389,4.0,진지한
25,3,4.5,진지한
25,59,5.0,힐링
25,222,2.0,활기찬
25,430,4.4,진지한
26,466,3.4,진지한
26,370,3.4,활기찬
26,463,3.7,에너지 넘치는
26,93,4.2,즐거운
26,72,2.5,여유로운
26,327,5.0,감성적인
27,198,3.9,배움
27,19,5.0,감성적인
27,345,3.3,여유로운
28,70,4.2,활기찬
28,169,4.1,활기찬
28,219,5.0,여유로운
28,490,3.0,여유로운
29,355,2.8,즐거운
29,150,2.8,감성적인
29,384,4.6,창의적인
30,186,3.1,활기찬
30,452,2.3,창의적인
30,293,3.2,힐링
31,253,5.0,즐거운
31,57,3.5,활기찬
31,164,3.2,감성적인
31,265,2.6,여유로운
31,294,3.3,힐링
